x,y,z,C,R,G,B
-6.069884, -5.117691, 2.426716, 2, 0.490387, 0.453792, 0.837573
-6.159657, -5.606072, 2.447518, 2, 0.490387, 0.453792, 0.837573
-5.937710, -5.829308, 2.355987, 2, 0.490387, 0.453792, 0.837573
-6.318637, -5.750765, 2.161596, 2, 0.490387, 0.453792, 0.837573
-6.178962, -5.589079, 2.448364, 2, 0.490387, 0.453792, 0.837573
-5.953500, -5.809048, 2.355169, 2, 0.490387, 0.453792, 0.837573
-5.844754, -6.146699, 2.314347, 2, 0.490387, 0.453792, 0.837573
-6.137882, -5.146354, 2.113317, 2, 0.490387, 0.453792, 0.837573
-6.340564, -5.735254, 2.163067, 2, 0.490387, 0.453792, 0.837573
-6.058547, -5.044858, 2.409762, 2, 0.490387, 0.453792, 0.837573
-6.193939, -5.568172, 2.447518, 2, 0.490387, 0.453792, 0.837573
-5.925015, -5.745877, 2.336916, 2, 0.490387, 0.453792, 0.837573
-5.878924, -6.144772, 2.320401, 2, 0.490387, 0.453792, 0.837573
-5.838319, -5.248480, 1.986225, 2, 0.490387, 0.453792, 0.837573
-5.980678, -4.986384, 1.745812, 2, 0.490387, 0.453792, 0.837573
-5.766795, -5.181816, 1.657120, 2, 0.490387, 0.453792, 0.837573
-6.323027, -5.232321, 2.508561, 2, 0.490387, 0.453792, 0.837573
-6.216717, -5.554257, 2.449773, 2, 0.490387, 0.453792, 0.837573
-5.944001, -5.729008, 2.337461, 2, 0.490387, 0.453792, 0.837573
-6.172322, -5.111062, 2.114337, 2, 0.490387, 0.453792, 0.837573
-5.846442, -5.223439, 1.983527, 2, 0.490387, 0.453792, 0.837573
-6.089869, -5.045832, 1.773159, 2, 0.490387, 0.453792, 0.837573
-5.845393, -5.220118, 1.675096, 2, 0.490387, 0.453792, 0.837573
-6.107517, -5.060994, 1.171709, 2, 0.490387, 0.453792, 0.837573
-6.043765, -5.008166, 0.868216, 2, 0.490387, 0.453792, 0.837573
-6.085544, -5.038310, 0.582813, 2, 0.490387, 0.453792, 0.837573
-6.094064, -5.042137, 0.294038, 2, 0.490387, 0.453792, 0.837573
-6.242337, -5.542803, 2.453156, 2, 0.490387, 0.453792, 0.837573
-5.946264, -5.696101, 2.331468, 2, 0.490387, 0.453792, 0.837573
-6.047398, -6.243714, 2.371732, 2, 0.490387, 0.453792, 0.837573
-5.870414, -5.212558, 1.986225, 2, 0.490387, 0.453792, 0.837573
-5.887711, -5.225528, 1.682621, 2, 0.490387, 0.453792, 0.837573
-6.262909, -5.526799, 2.454566, 2, 0.490387, 0.453792, 0.837573
-5.946986, -5.661909, 2.324929, 2, 0.490387, 0.453792, 0.837573
-5.972261, -6.128404, 2.334879, 2, 0.490387, 0.453792, 0.837573
-5.903096, -5.209277, 1.991866, 2, 0.490387, 0.453792, 0.837573
-5.926449, -5.227494, 1.689101, 2, 0.490387, 0.453792, 0.837573
-6.328886, -5.550577, 2.473738, 2, 0.490387, 0.453792, 0.837573
-5.977608, -5.656202, 2.330106, 2, 0.490387, 0.453792, 0.837573
-5.907958, -6.025324, 2.302501, 2, 0.490387, 0.453792, 0.837573
-5.941645, -5.210958, 1.999470, 2, 0.490387, 0.453792, 0.837573
-5.971139, -5.234428, 1.697252, 2, 0.490387, 0.453792, 0.837573
-6.329973, -5.517265, 2.467535, 2, 0.490387, 0.453792, 0.837573
-5.994232, -5.637177, 2.329833, 2, 0.490387, 0.453792, 0.837573
-5.977336, -5.209903, 2.006092, 2, 0.490387, 0.453792, 0.837573
-6.326147, -5.940381, 2.106332, 2, 0.490387, 0.453792, 0.837573
-6.005603, -5.232144, 1.702478, 2, 0.490387, 0.453792, 0.837573
-6.299733, -5.456987, 2.449209, 2, 0.490387, 0.453792, 0.837573
-6.024854, -5.631244, 2.335009, 2, 0.490387, 0.453792, 0.837573
-6.109970, -6.155339, 2.366467, 2, 0.490387, 0.453792, 0.837573
-6.008679, -5.204870, 2.011243, 2, 0.490387, 0.453792, 0.837573
-6.034195, -5.224576, 1.706031, 2, 0.490387, 0.453792, 0.837573
-6.042987, -5.202223, 2.017375, 2, 0.490387, 0.453792, 0.837573
-6.512099, -6.040233, 2.155866, 2, 0.490387, 0.453792, 0.837573
-6.061314, -5.215606, 1.709167, 2, 0.490387, 0.453792, 0.837573
-6.081018, -5.202566, 2.024733, 2, 0.490387, 0.453792, 0.837573
-6.467008, -5.961604, 2.134873, 2, 0.490387, 0.453792, 0.837573
-6.075800, -5.195715, 1.708749, 2, 0.490387, 0.453792, 0.837573
-5.992607, -4.715986, 2.330840, 2, 0.490387, 0.453792, 0.837573
-6.053659, -5.147077, 2.335024, 2, 0.490387, 0.453792, 0.837573
-6.058703, -5.559291, 2.328199, 2, 0.490387, 0.453792, 0.837573
-6.074055, -5.164418, 2.017130, 2, 0.490387, 0.453792, 0.837573
-6.579849, -6.028390, 2.166008, 2, 0.490387, 0.453792, 0.837573
-6.078299, -5.165651, 1.704986, 2, 0.490387, 0.453792, 0.837573
-5.986249, -5.077893, 0.503775, 2, 0.490387, 0.453792, 0.837573
-6.002527, -4.694044, 2.329086, 2, 0.490387, 0.453792, 0.837573
-6.067223, -5.126622, 2.334178, 2, 0.490387, 0.453792, 0.837573
-6.081418, -5.545864, 2.330378, 2, 0.490387, 0.453792, 0.837573
-6.106903, -5.160150, 2.022771, 2, 0.490387, 0.453792, 0.837573
-6.582505, -5.993781, 2.160819, 2, 0.490387, 0.453792, 0.837573
-6.109061, -5.159599, 1.709167, 2, 0.490387, 0.453792, 0.837573
-5.983674, -4.649788, 2.316224, 2, 0.490387, 0.453792, 0.837573
-6.073371, -5.099963, 2.330513, 2, 0.490387, 0.453792, 0.837573
-6.129060, -5.554965, 2.342093, 2, 0.490387, 0.453792, 0.837573
-6.133850, -5.148376, 1.711675, 2, 0.490387, 0.453792, 0.837573
-6.115895, -5.128396, 1.100287, 2, 0.490387, 0.453792, 0.837573
-6.110004, -5.120188, 0.802289, 2, 0.490387, 0.453792, 0.837573
-6.203947, -5.197438, 0.519402, 2, 0.490387, 0.453792, 0.837573
-5.963093, -4.604522, 2.302778, 2, 0.490387, 0.453792, 0.837573
-6.138343, -5.122493, 2.349403, 2, 0.490387, 0.453792, 0.837573
-6.200407, -5.585076, 2.362797, 2, 0.490387, 0.453792, 0.837573
-5.873402, -5.703113, 2.233798, 2, 0.490387, 0.453792, 0.837573
-6.070716, -5.066058, 2.000451, 2, 0.490387, 0.453792, 0.837573
-6.037516, -5.430149, 1.970942, 2, 0.490387, 0.453792, 0.837573
